id,segment,word,start_sec
p59ZDdxszkk,0,oh,0.5
p59ZDdxszkk,0,thank,0.5
p59ZDdxszkk,0,thank,2.7
p59ZDdxszkk,0,thank,11.3
p59ZDdxszkk,0,love,12.8
p59ZDdxszkk,0,tell,14.1
p59ZDdxszkk,0,heart,15.7
p59ZDdxszkk,0,incredible,17.4
p59ZDdxszkk,0,year,18.3
p59ZDdxszkk,0,accomplish,20.0
p59ZDdxszkk,0,want,21.7
p59ZDdxszkk,0,thank,21.9
p59ZDdxszkk,0,family,23.4
p59ZDdxszkk,0,friend,24.5
p59ZDdxszkk,0,staff,25.5
p59ZDdxszkk,0,people,27.1
p59ZDdxszkk,1,thank,28.8
p59ZDdxszkk,1,effort,31.3
p59ZDdxszkk,1,hard,32.0
p59ZDdxszkk,1,work,32.4
p59ZDdxszkk,1,people,33.1
p59ZDdxszkk,1,idea,33.7
p59ZDdxszkk,1,hard,34.5
p59ZDdxszkk,1,family,35.1
p59ZDdxszkk,1,work,35.5
p59ZDdxszkk,1,work,36.5
p59ZDdxszkk,1,work,37.1
p59ZDdxszkk,1,easy,40.8
p59ZDdxszkk,1,life,41.1
p59ZDdxszkk,1,fantastic,43.3
p59ZDdxszkk,1,job,44.1
p59ZDdxszkk,1,want,44.7
p59ZDdxszkk,1,thank,44.9
p59ZDdxszkk,1,want,47.0
p59ZDdxszkk,1,thank,47.3
p59ZDdxszkk,1,mark,47.6
p59ZDdxszkk,1,meadow,47.9
p59ZDdxszkk,1,someplace,48.8
p59ZDdxszkk,1,right,49.4
p59ZDdxszkk,1,want,50.0
p59ZDdxszkk,1,thank,50.3
p59ZDdxszkk,1,bar,50.6
p59ZDdxszkk,1,special,54.6
p59ZDdxszkk,1,accomplish,55.3
p59ZDdxszkk,1,lot,56.0
p59ZDdxszkk,2,woman,58.6
p59ZDdxszkk,2,great,59.0
p59ZDdxszkk,2,grace,60.1
p59ZDdxszkk,2,beauty,61.2
p59ZDdxszkk,2,dignity,61.8
p59ZDdxszkk,2,popular,66.8
p59ZDdxszkk,2,people,67.6
p59ZDdxszkk,2,popular,68.4
p59ZDdxszkk,2,people,69.3
p59ZDdxszkk,2,fact,69.9
p59ZDdxszkk,2,like,70.9
p59ZDdxszkk,2,word,71.7
p59ZDdxszkk,2,lady,77.8
p59ZDdxszkk,2,great,78.9
p59ZDdxszkk,2,honor,79.4
p59ZDdxszkk,2,thank,80.4
p59ZDdxszkk,2,love,81.1
p59ZDdxszkk,2,support,82.3
p59ZDdxszkk,2,thought,84.6
p59ZDdxszkk,3,god,86.3
p59ZDdxszkk,3,bless,86.6
p59ZDdxszkk,3,god,88.1
p59ZDdxszkk,3,bless,88.3
p59ZDdxszkk,3,family,88.8
p59ZDdxszkk,3,god,90.3
p59ZDdxszkk,3,bless,90.6
p59ZDdxszkk,3,beautiful,91.5
p59ZDdxszkk,3,nation,92.1
p59ZDdxszkk,3,right,100.3
p59ZDdxszkk,3,truly,103.2
p59ZDdxszkk,3,great,103.7
p59ZDdxszkk,3,job,104.0
p59ZDdxszkk,3,amazing,107.5
p59ZDdxszkk,3,standard,109.2
p59ZDdxszkk,3,rebuild,110.8
p59ZDdxszkk,3,united,111.6
p59ZDdxszkk,3,state,112.0
p59ZDdxszkk,3,military,112.4
p59ZDdxszkk,4,create,114.9
p59ZDdxszkk,4,new,117.1
p59ZDdxszkk,4,force,117.4
p59ZDdxszkk,4,space,118.2
p59ZDdxszkk,4,force,118.6
p59ZDdxszkk,4,major,120.0
p59ZDdxszkk,4,achievement,120.4
p59ZDdxszkk,4,regular,122.8
p59ZDdxszkk,4,administration,123.4
p59ZDdxszkk,4,regular,124.9
p59ZDdxszkk,4,administration,125.4
p59ZDdxszkk,4,took,127.9
p59ZDdxszkk,4,care,128.1
p59ZDdxszkk,4,vet,128.5
p59ZDdxszkk,4,ninety,128.9
p59ZDdxszkk,4,percent,129.6
p59ZDdxszkk,4,approval,130.0
p59ZDdxszkk,4,rating,130.4
p59ZDdxszkk,4,vet,132.4
p59ZDdxszkk,4,va,134.1
p59ZDdxszkk,4,vet,135.3
p59ZDdxszkk,4,approval,136.5
p59ZDdxszkk,4,rating,136.9
p59ZDdxszkk,4,like,137.3
p59ZDdxszkk,4,took,139.7
p59ZDdxszkk,4,care,139.9
p59ZDdxszkk,4,vet,140.5
p59ZDdxszkk,4,beautiful,141.4
p59ZDdxszkk,4,vet,141.9
p59ZDdxszkk,5,badly,143.7
p59ZDdxszkk,5,treat,144.1
p59ZDdxszkk,5,came,144.9
p59ZDdxszkk,5,know,147.6
p59ZDdxszkk,5,great,149.0
p59ZDdxszkk,5,service,149.2
p59ZDdxszkk,5,pick,150.4
p59ZDdxszkk,5,bill,151.0
p59ZDdxszkk,5,doctor,153.3
p59ZDdxszkk,5,wait,154.3
p59ZDdxszkk,5,long,154.6
p59ZDdxszkk,5,period,154.9
p59ZDdxszkk,5,time,155.5
p59ZDdxszkk,5,got,157.0
p59ZDdxszkk,5,sadly,159.5
p59ZDdxszkk,5,rid,160.8
p59ZDdxszkk,5,people,161.0
p59ZDdxszkk,5,treat,161.7
p59ZDdxszkk,5,vet,162.1
p59ZDdxszkk,5,properly,162.6
p59ZDdxszkk,5,right,164.6
p59ZDdxszkk,5,came,165.6
p59ZDdxszkk,5,vet,166.4
p59ZDdxszkk,5,happy,166.8
p59ZDdxszkk,5,people,168.0
p59ZDdxszkk,5,happy,168.5
p59ZDdxszkk,5,military,169.8
p59ZDdxszkk,5,thrilled,170.6
p59ZDdxszkk,6,got,171.8
p59ZDdxszkk,6,tax,172.5
p59ZDdxszkk,6,cut,172.9
p59ZDdxszkk,6,large,173.3
p59ZDdxszkk,6,tax,173.8
p59ZDdxszkk,6,cut,174.2
p59ZDdxszkk,6,reform,174.7
p59ZDdxszkk,6,history,175.5
p59ZDdxszkk,6,country,176.1
p59ZDdxszkk,6,far,176.7
p59ZDdxszkk,6,hope,180.0
p59ZDdxszkk,6,raise,180.6
p59ZDdxszkk,6,taxis,181.0
p59ZDdxszkk,6,tell,184.0
p59ZDdxszkk,6,look,188.1
p59ZDdxszkk,6,regulation,188.6
p59ZDdxszkk,6,consider,189.7
p59ZDdxszkk,6,regulation,190.3
p59ZDdxszkk,6,cut,191.1
p59ZDdxszkk,6,maybe,191.7
p59ZDdxszkk,6,important,192.4
p59ZDdxszkk,6,good,194.5
p59ZDdxszkk,6,good,195.6
p59ZDdxszkk,6,job,196.3
p59ZDdxszkk,6,number,196.6
p59ZDdxszkk,6,job,197.1
p59ZDdxszkk,6,number,197.5
p59ZDdxszkk,6,absolutely,198.4
p59ZDdxszkk,7,start,200.7
p59ZDdxszkk,7,hit,202.0
p59ZDdxszkk,7,pandemic,202.6
p59ZDdxszkk,7,number,206.0
p59ZDdxszkk,7,number,208.9
p59ZDdxszkk,7,good,210.5
p59ZDdxszkk,7,look,211.3
p59ZDdxszkk,7,happen,211.8
p59ZDdxszkk,7,february,212.8
p59ZDdxszkk,7,year,214.3
p59ZDdxszkk,7,ago,214.5
p59ZDdxszkk,7,number,215.4
p59ZDdxszkk,7,level,216.2
p59ZDdxszkk,7,build,220.0
p59ZDdxszkk,7,twice,220.5
p59ZDdxszkk,7,got,221.6
p59ZDdxszkk,7,hit,221.8
p59ZDdxszkk,7,blame,222.4
p59ZDdxszkk,7,world,223.8
p59ZDdxszkk,7,got,224.1
p59ZDdxszkk,7,hit,224.3
p59ZDdxszkk,7,build,224.9
p59ZDdxszkk,7,stock,226.9
p59ZDdxszkk,7,market,227.3
p59ZDdxszkk,7,actually,227.9
p59ZDdxszkk,8,high,229.1
p59ZDdxszkk,8,high,231.0
p59ZDdxszkk,8,point,231.4
p59ZDdxszkk,8,prior,232.4
p59ZDdxszkk,8,pandemic,233.3
p59ZDdxszkk,8,build,236.7
p59ZDdxszkk,8,twice,237.1
p59ZDdxszkk,8,incredible,243.0
p59ZDdxszkk,8,number,243.5
p59ZDdxszkk,8,start,243.9
p59ZDdxszkk,8,come,244.3
p59ZDdxszkk,8,sort,246.3
p59ZDdxszkk,8,left,246.9
p59ZDdxszkk,8,careful,248.0
p59ZDdxszkk,8,complex,249.2
p59ZDdxszkk,8,careful,250.3
p59ZDdxszkk,8,incredible,252.3
p59ZDdxszkk,8,thing,252.8
p59ZDdxszkk,8,happen,253.1
p59ZDdxszkk,8,remember,255.6
p59ZDdxszkk,9,thing,257.3
p59ZDdxszkk,9,happen,257.7
p59ZDdxszkk,9,remember,258.7
p59ZDdxszkk,9,look,262.0
p59ZDdxszkk,9,look,264.2
p59ZDdxszkk,9,element,264.7
p59ZDdxszkk,9,economy,265.5
p59ZDdxszkk,9,set,266.4
p59ZDdxszkk,9,rocket,267.8
p59ZDdxszkk,9,ship,268.3
p59ZDdxszkk,9,rocket,269.4
p59ZDdxszkk,9,ship,269.8
p59ZDdxszkk,9,great,271.3
p59ZDdxszkk,9,country,272.4
p59ZDdxszkk,9,world,273.0
p59ZDdxszkk,9,great,274.4
p59ZDdxszkk,9,economy,274.9
p59ZDdxszkk,9,world,275.6
p59ZDdxszkk,9,bed,276.4
p59ZDdxszkk,9,pandemic,276.9
p59ZDdxszkk,9,hit,279.4
p59ZDdxszkk,9,hard,279.8
p59ZDdxszkk,9,like,280.3
