id,title,duration,duration_seconds,channel,views,likes,favorites,comments,date,licensed_content,tags,description,url,channel_creation_date,channel_views,channel_subscribers,channel_videos,channel_country,channel_topic_categories,channel_keywords,channel_description,channel_url
UXR_bqyAy4E,Chaos in Washington as Trump supporters storm Capitol and force lockdown of Congress - BBC News,00:11:47.000,707.000000,BBC News,7964241,69272,0,44617,2021-01-06T22:27:24Z,True,"['bbc', 'bbc news', 'news', 'Washington', 'Capitol', 'capital', 'DC', 'Congress', 'Trump', 'supporters', 'storm', 'stormed', 'building', 'lockdown', 'evacuation', 'police', 'national', 'guard', 'chaos', 'crisis', 'President', 'Biden', 'representatives', 'senators', 'vote', 'election', 'result', 'victory', 'defeat', 'challenge', 'mob', 'anger', 'protest', 'demonstrating', 'protesting', 'demonstration', 'rage', 'White', 'House', 'elect', 'elected', 'mayor', 'deployed', 'Huw Edwards', 'Jon Sopel', 'US', 'United', 'States', 'North', 'America', 'editor', 'Aleem Maqbool', 'Lebo', 'Diseko', 'coup', 'constitution', 'attack', 'attempt', 'armed', 'shot', 'woman', 'insurrection']","Thousands of supporters of President Trump have stormed the US Capitol building, venting their anger at the victory of Joe Biden in the presidential election. 

They forced the evacuation and lockdown of Congress, where lawmakers were preparing to approve the election result. 

Shortly before the clashes President Trump had addressed his supporters near the White House telling them that he would never accept defeat. 

President-elect Biden called on Mr Trump to tell his people to go home and eventually that was the message delivered from the White House.

Washington’s Mayor ordered a curfew as members of the US National Guard were deployed to protect the city. 

Huw Edwards presents BBC News at Ten reporting by North America editor Jon Sopel in Washington and from Aleem Maqbool and Lebo Diseko at the Capitol.

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=UXR_bqyAy4E,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
EJMaCyibnsM,Calls for Trump to be removed from office days before Biden inauguration - BBC News,00:13:20.000,800.000000,BBC News,1533421,18800,0,8943,2021-01-07T22:26:35Z,True,"['bbc', 'bbc news', 'news', 'Washington', 'Capitol', 'capital', 'DC', 'Congress', 'Trump', 'Biden', 'Pelosi', 'Pence', 'Schumer', 'Mitch', 'supporters', 'storm', 'stormed', 'building', 'lockdown', 'evacuation', 'police', 'guard', 'chaos', 'crisis', 'President', 'representatives', 'senators', 'vote', 'election', 'result', 'victory', 'defeat', 'mob', 'anger', 'protest', 'protesting', 'demonstration', 'rage', 'White', 'House', 'elect', 'elected', 'deployed', 'Sophie Raworth', 'Jon Sopel', 'US', 'United', 'States', 'editor', 'Aleem Maqbool', 'Lebo', 'Diseko', 'James Landale', 'coup', 'constitution', 'attack', '25th', 'amendment', 'impeach', 'criminal', 'charges']","The US President-elect Joe Biden has delivered a stinging attack on Donald Trump — accusing him of encouraging the violence in Washington when hundreds of his supporters stormed the Capitol. 

Joe Biden called it one of the “darkest days in US history”.  He  said it was the culmination of four years of attacks by Mr Trump on democracy, justice and the media. 

Leading Republicans are distancing themselves from Mr Trump, who has not condemned the rioters.   There are growing calls for him to be stripped of the Presidency —  just days before the official handover to Joe Biden. 

Sophie Raworth presents BBC News at Ten reporting by North America editor Jon Sopel,  Aleem Maqbool, Lebo Miseko, and diplomatic correspondent James Landale.

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=EJMaCyibnsM,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
6quOC6McLZU,Capitol riots: How a Trump rally turned deadly - BBC News,00:01:56.000,116.000000,BBC News,628680,4343,0,2979,2021-01-07T14:33:51Z,True,"['bbc', 'bbc news', 'news']","During a speech earlier in the day, President Trump had asked his supporters to march towards the Capitol in protest. They breached the building while Congress was certifying Joe Biden's win.

Protesters made it all the way to the Senate floor and the office of House Speaker Nancy Pelosi.

Here are the key moments in a dark day for US democracy.

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=6quOC6McLZU,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
p59ZDdxszkk,Trump's last speech as president - BBC News,00:09:38.000,578.000000,BBC News,468877,6050,0,3160,2021-01-20T13:54:46Z,True,"['bbc', 'bbc news', 'news']","In a farewell address at Joint Base Andrews, met with cheers from supporters, the president said people have ""no idea how hard"" his family had worked during his four years in office.

""What we've done has been amazing by any standard,"" he said, before pointing to changes he made to the US military.

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=p59ZDdxszkk,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
8AcQ8C9xa-A,Former US President Donald Trump accused of 'attempted coup' - BBC News,00:08:40.000,520.000000,BBC News,226017,3423,0,2617,2022-06-10T16:00:05Z,True,"['bbc', 'bbc news', 'news']","Former US President Donald Trump has been accused of orchestrating last year's Capitol riot in an ""attempted coup"".

Trump supporters stormed Congress on 6 January 2021 as lawmakers met to certify Joe Biden's election victory.

After almost a year of investigating, a congressional hearing revealed Never-before-seen footage and interviews with members of Mr Trump's inner circle about what happened - including the ex-president's daughter, Ivanka Trump. 

Please subscribe HERE http://bit.ly/1rbfUog

#US #BBCNews",https://www.youtube.com/watch?v=8AcQ8C9xa-A,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
DUyv6voIQOI,US Capitol riots: How the world's media reacted - BBC News,00:01:19.000,79.000000,BBC News,106811,1863,0,761,2021-01-08T14:23:41Z,True,"['bbc', 'bbc news', 'news']","World media has reacted with shock and contempt at the violent storming of the US Capitol by supporters of President Donald Trump.

Video produced by BBC Monitoring

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=DUyv6voIQOI,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
5F1LC4QmkRA,French President Macron condemns US attack - BBC News,00:00:52.000,52.000000,BBC News,90681,1711,0,573,2021-01-07T11:26:39Z,True,"['bbc', 'bbc news', 'news']","French President Emmanuel Macron has condemned the attack on the US Capitol building.

He said ""What happened today in Washington DC is not America, definitely.""

The attack came as election results n Georgia shifted the balance of power in Congress towards the Democrats. The results will help aid the passage of President-Elect Biden's agenda after he is inaugurated on 20 January.

Please subscribe HERE http://bit.ly/1rbfUog",https://www.youtube.com/watch?v=5F1LC4QmkRA,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
FiJTenAqt5M,Trump slams Capitol riots hearings as 'Kangaroo Court' - BBC News,00:03:16.000,196.000000,BBC News,73798,1952,0,1257,2022-06-14T10:04:20Z,True,"['bbc', 'bbc news', 'news']","Former US President Donald Trump has blasted the congressional inquiry into the Capitol riot as a ""Kangaroo Court"".

In a 12-page statement, he said the investigation was designed to distract Americans from the ""disaster"" of Democratic-led governance.

It came after the committee held two public hearings accusing Mr Trump of an attempted coup to remain in power.


Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",https://www.youtube.com/watch?v=FiJTenAqt5M,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
QYgKCy64CV0,"Donald Trump tweet incited Capitol attack, says inquiry - BBC News",00:02:55.000,175.000000,BBC News,72844,1587,0,1516,2022-07-13T12:17:54Z,True,"['bbc', 'bbc news', 'news', 'capitol', 'ua', 'trump', 'donald trump']","A Trump tweet mobilised far-right extremists to converge on Washington DC on the day of last year's Capitol riot, a congressional inquiry has heard.

The then-president forged ahead with a rallying call to supporters even though aides repeatedly told him he had fairly lost the 2020 election to Joe Biden.

The committee accuses Mr Trump of an attempted coup to remain in power.

Mr Trump has described the hearings as an attempt to distract Americans from the ""disaster"" of Democratic governance amid rampant inflation.

Please subscribe HERE http://bit.ly/1rbfUog

#Capitol #US #BBCNews",https://www.youtube.com/watch?v=QYgKCy64CV0,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
_ZXJdYe4bpE,Reflecting on the US Capitol riot one year on - BBC News,00:05:38.000,338.000000,BBC News,65051,1668,0,885,2022-01-08T13:06:08Z,True,"['bbc', 'bbc news', 'news', 'Capitol riots', 'US Politics', 'Washington DC']","This week marked the first anniversary of the storming of the US Capitol in Washington DC by supporters of outgoing US President Donald Trump.

The BBC's Ros Atkins looks at what has happened since, and tensions that remain across the US. 

Please subscribe HERE http://bit.ly/1rbfUog

#BBCNews",https://www.youtube.com/watch?v=_ZXJdYe4bpE,2006-04-08T05:51:05Z,4321945746,13900000,17816,GB,"['https://en.wikipedia.org/wiki/Society', 'https://en.wikipedia.org/wiki/Politics']",BBC News Official YouTube Channel,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes clips and footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

Tune into BBC World News for 24 hour news on TV. Check out BBC News on mobile and download our app for iPhone, Android and Kindle Fire. 

The official BBC News YouTube channel is operated by BBC Global News Ltd which comprises BBC World News the 24hr TV channel and bbc.com/news, the international news website.",https://www.youtube.com/channel/UC16niRr50-MSBwiO3YDb3RA
